Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cashewnut,1999,Whole Year ,KERALA,89403.0,65547,2914.6,9488340.39,24138.81,0.491428571
Coconut ,1999,Whole Year ,KERALA,925035.0,5680000000,2914.6,98173964.55,249759.45,5581.025714
Cotton(lint),1999,Kharif     ,KERALA,4772.0,7702,2914.6,506452.36,1288.44,1.61
Dry chillies,1999,Whole Year ,KERALA,312.0,310,2914.6,33112.56,84.24,0.975
Garlic,1999,Whole Year ,KERALA,849.0,14433,2914.6,90104.37,229.23,17.0
Ginger,1999,Whole Year ,KERALA,11264.0,41344,2914.6,1195448.32,3041.28,3.159285714
Groundnut,1999,Kharif     ,KERALA,6921.0,5144,2914.6,734525.73,1868.67,0.37
Jowar,1999,Kharif     ,KERALA,2529.0,1287,2914.6,268402.77,682.83,0.255
Ragi,1999,Kharif     ,KERALA,870.0,704,2914.6,92333.1,234.9,0.815
Rice,1999,Autumn     ,KERALA,121525.0,252876,2914.6,12897448.25,32811.75,2.081538462
Rice,1999,Summer     ,KERALA,58021.0,144551,2914.6,6157768.73,15665.67,2.292857143
Rice,1999,Winter     ,KERALA,170228.0,373259,2914.6,18066297.64,45961.56,2.097142857
Sesamum,1999,Kharif     ,KERALA,2612.0,718,2914.6,277211.56,705.24,0.374545455
Sugarcane,1999,Whole Year ,KERALA,5780.0,578820,2914.6,613431.4,1560.6,88.2225
Sweet potato,1999,Whole Year ,KERALA,989.0,10698,2914.6,104962.57,267.03,11.79636364
Tapioca,1999,Whole Year ,KERALA,111922.0,2531752,2914.6,11878281.86,30218.94,24.25785714
Tobacco,1999,Whole Year ,KERALA,44.0,245,2914.6,4669.72,11.88,5.57
Turmeric,1999,Whole Year ,KERALA,3971.0,8362,2914.6,421442.23,1072.17,1.999285714
Arecanut,2000,Whole Year ,KERALA,87360.0,87947,2412.6,8576131.2,22713.6,0.825714286
Banana,2000,Whole Year ,KERALA,45059.0,327955,2412.6,4423442.03,11715.34,7.457857143
Black pepper,2000,Whole Year ,KERALA,202133.0,60929,2412.6,19843396.61,52554.58,0.22
Cardamom,2000,Whole Year ,KERALA,41288.0,7580,2412.6,4053242.96,10734.88,0.055
Cashewnut,2000,Whole Year ,KERALA,92122.0,66178,2412.6,9043616.74,23951.72,0.507857143
Coconut ,2000,Whole Year ,KERALA,925783.0,5536000000,2412.6,90884117.11,240703.58,5617.002143
Cotton(lint),2000,Kharif     ,KERALA,3847.0,6209,2412.6,377659.99,1000.22,1.61
Garlic,2000,Whole Year ,KERALA,538.0,9146,2412.6,52815.46,139.88,17.0
Ginger,2000,Whole Year ,KERALA,11612.0,42699,2412.6,1139950.04,3019.12,2.957142857
Groundnut,2000,Kharif     ,KERALA,3677.0,2733,2412.6,360971.09,956.02,0.37
Jowar,2000,Kharif     ,KERALA,463.0,236,2412.6,45452.71,120.38,0.51
Ragi,2000,Kharif     ,KERALA,1955.0,1582,2412.6,191922.35,508.3,0.813333333
Rice,2000,Autumn     ,KERALA,129752.0,260306,2412.6,12737753.84,33735.52,1.938461538
Rice,2000,Summer     ,KERALA,55258.0,154606,2412.6,5424677.86,14367.08,2.23
Rice,2000,Winter     ,KERALA,162445.0,336416,2412.6,15947225.65,42235.7,2.042857143
Sesamum,2000,Kharif     ,KERALA,2002.0,797,2412.6,196536.34,520.52,0.345833333
Sugarcane,2000,Whole Year ,KERALA,3367.0,275550,2412.6,330538.39,875.42,90.19
Sweet potato,2000,Whole Year ,KERALA,816.0,8963,2412.6,80106.72,212.16,11.46615385
Tapioca,2000,Whole Year ,KERALA,114609.0,2586903,2412.6,11251165.53,29798.34,24.29642857
Tobacco,2000,Whole Year ,KERALA,213.0,1186,2412.6,20910.21,55.38,5.57
Turmeric,2000,Whole Year ,KERALA,4127.0,9037,2412.6,405147.59,1073.02,1.905714286
Arecanut,2001,Whole Year ,KERALA,93193.0,84679,2946.7,9517801.09,24230.18,0.772857143
Banana,2001,Whole Year ,KERALA,50871.0,375903,2946.7,5195455.23,13226.46,7.347857143
Black pepper,2001,Whole Year ,KERALA,203956.0,58240,2946.7,20830026.28,53028.56,0.214285714
Cardamom,2001,Whole Year ,KERALA,41336.0,8380,2946.7,4221645.68,10747.36,0.057272727
Cashewnut,2001,Whole Year ,KERALA,89718.0,65867,2946.7,9162899.34,23326.68,0.525
Coconut ,2001,Whole Year ,KERALA,905718.0,5479000000,2946.7,92500979.34,235486.68,5636.355
Cotton(lint),2001,Kharif     ,KERALA,3760.0,6069,2946.7,384008.8,977.6,1.61
Garlic,2001,Whole Year ,KERALA,293.0,4981,2946.7,29924.09,76.18,17.0
Ginger,2001,Whole Year ,KERALA,10706.0,40181,2946.7,1093403.78,2783.56,3.167857143
Groundnut,2001,Kharif     ,KERALA,2437.0,1812,2946.7,248890.81,633.62,0.74
Jowar,2001,Kharif     ,KERALA,2902.0,1478,2946.7,296381.26,754.52,0.4025
Ragi,2001,Kharif     ,KERALA,1947.0,1575,2946.7,198847.11,506.22,0.766666667
Rice,2001,Autumn     ,KERALA,116540.0,235838,2946.7,11902230.2,30300.4,1.886923077
Rice,2001,Summer     ,KERALA,43850.0,105032,2946.7,4478400.5,11401.0,2.151428571
Rice,2001,Winter     ,KERALA,161978.0,362634,2946.7,16542813.14,42114.28,2.153571429
Sesamum,2001,Kharif     ,KERALA,878.0,284,2946.7,89670.14,228.28,0.325
Sugarcane,2001,Whole Year ,KERALA,3267.0,269780,2946.7,333658.71,849.42,88.77583333
Sweet potato,2001,Whole Year ,KERALA,747.0,8672,2946.7,76291.11,194.22,11.49153846
Tapioca,2001,Whole Year ,KERALA,111189.0,2455880,2946.7,11355732.57,28909.14,23.09642857
Tobacco,2001,Whole Year ,KERALA,71.0,395,2946.7,7251.23,18.46,5.56
Turmeric,2001,Whole Year ,KERALA,3558.0,7895,2946.7,363378.54,925.08,2.066428571
Arecanut,2002,Whole Year ,KERALA,97485.0,107279,2511.2,9228904.95,24371.25,0.910714286
Banana,2002,Whole Year ,KERALA,55668.0,421809,2511.2,5270089.56,13917.0,8.055714286
Black pepper,2002,Whole Year ,KERALA,208607.0,67358,2511.2,19748824.69,52151.75,0.222142857
Cardamom,2002,Whole Year ,KERALA,41412.0,8680,2511.2,3920474.04,10353.0,0.068
Cashewnut,2002,Whole Year ,KERALA,88548.0,66087,2511.2,8382839.16,22137.0,0.574285714
Coconut ,2002,Whole Year ,KERALA,899198.0,5709000000,2511.2,85127074.66,224799.5,5969.78
Cotton(lint),2002,Kharif     ,KERALA,3400.0,5488,2511.2,321878.0,850.0,1.61
Garlic,2002,Whole Year ,KERALA,616.0,10472,2511.2,58316.72,154.0,17.0
Ginger,2002,Whole Year ,KERALA,8998.0,32412,2511.2,851840.66,2249.5,2.951428571
Groundnut,2002,Kharif     ,KERALA,2422.0,1801,2511.2,229290.74,605.5,0.74
Jowar,2002,Kharif     ,KERALA,2571.0,1311,2511.2,243396.57,642.75,0.5025
Ragi,2002,Kharif     ,KERALA,1320.0,1068,2511.2,124964.4,330.0,0.87
Rice,2002,Autumn     ,KERALA,112438.0,233217,2511.2,10644505.46,28109.5,2.130769231
Rice,2002,Summer     ,KERALA,41079.0,111850,2511.2,3888948.93,10269.75,2.212142857
Rice,2002,Winter     ,KERALA,157004.0,343792,2511.2,14863568.68,39251.0,2.123571429
Sesamum,2002,Kharif     ,KERALA,811.0,260,2511.2,76777.37,202.75,0.277272727
Sugarcane,2002,Whole Year ,KERALA,3758.0,312830,2511.2,355769.86,939.5,88.46083333
Sweet potato,2002,Whole Year ,KERALA,850.0,10463,2511.2,80469.5,212.5,11.46928571
Tapioca,2002,Whole Year ,KERALA,104179.0,2413217,2511.2,9862625.93,26044.75,24.47785714
Tobacco,2002,Whole Year ,KERALA,90.0,501,2511.2,8520.3,22.5,5.57
Turmeric,2002,Whole Year ,KERALA,3140.0,6938,2511.2,297263.8,785.0,2.062857143
other oilseeds,2002,Whole Year ,KERALA,2253.0,0,2511.2,213291.51,563.25,0.0
Arecanut,2002,Whole Year ,TAMIL NADU,4956.0,0,315.9,469184.52,1239.0,0.0
Arhar/Tur,2002,Kharif     ,TAMIL NADU,44127.0,24067,315.9,4177503.09,11031.75,0.535416667
Bajra,2002,Kharif     ,TAMIL NADU,102020.0,88682,315.9,9658233.4,25505.0,1.041666667
Banana,2002,Whole Year ,TAMIL NADU,76771.0,2836916,315.9,7267910.57,19192.75,34.81964286
Cashewnut,2002,Whole Year ,TAMIL NADU,95217.0,35885,315.9,9014193.39,23804.25,0.3108
Castor seed,2002,Kharif     ,TAMIL NADU,17749.0,5600,315.9,1680297.83,4437.25,0.376666667
Coconut ,2002,Whole Year ,TAMIL NADU,345825.0,2860700000,315.9,32739252.75,86456.25,8497.531111
Coriander,2002,Whole Year ,TAMIL NADU,25326.0,4707,315.9,2397612.42,6331.5,0.191818182
Cotton(lint),2002,Kharif     ,TAMIL NADU,75572.0,83542,315.9,7154401.24,18893.0,1.429230769
Dry chillies,2002,Whole Year ,TAMIL NADU,68566.0,40646,315.9,6491143.22,17141.5,0.640740741
Garlic,2002,Whole Year ,TAMIL NADU,565.0,3378,315.9,53488.55,141.25,5.69
Ginger,2002,Whole Year ,TAMIL NADU,416.0,6665,315.9,39382.72,104.0,16.00888889
Gram,2002,Rabi       ,TAMIL NADU,6199.0,4172,315.9,586859.33,1549.75,0.581666667
Groundnut,2002,Kharif     ,TAMIL NADU,502090.0,717403,315.9,47532860.3,125522.5,1.509285714
Horse-gram,2002,Kharif     ,TAMIL NADU,81711.0,20782,315.9,7735580.37,20427.75,0.25125
Jowar,2002,Kharif     ,TAMIL NADU,319607.0,213639,315.9,30257194.69,79901.75,0.765652174
Maize,2002,Kharif     ,TAMIL NADU,121057.0,191646,315.9,11460466.19,30264.25,1.806956522
Moong(Green Gram),2002,Kharif     ,TAMIL NADU,112812.0,48053,315.9,10679912.04,28203.0,0.411851852
Onion,2002,Whole Year ,TAMIL NADU,23492.0,198715,315.9,2223987.64,5873.0,8.54625
Other Kharif pulses,2002,Kharif     ,TAMIL NADU,121255.0,24850,315.9,11479210.85,30313.75,0.197037037
Potato,2002,Whole Year ,TAMIL NADU,4537.0,73362,315.9,429517.79,1134.25,18.3475
Ragi,2002,Kharif     ,TAMIL NADU,104286.0,140169,315.9,9872755.62,26071.5,1.6392
Rapeseed &Mustard,2002,Rabi       ,TAMIL NADU,585.0,142,315.9,55381.95,146.25,0.206
Rice,2002,Kharif     ,TAMIL NADU,1516537.0,3577108,315.9,143570557.8,379134.25,2.884642857
Sesamum,2002,Kharif     ,TAMIL NADU,64481.0,28047,315.9,6104416.27,16120.25,0.401785714
Small millets,2002,Kharif     ,TAMIL NADU,7348.0,4137,315.9,695635.16,1837.0,0.575454545
Sugarcane,2002,Whole Year ,TAMIL NADU,261416.0,24165390,315.9,24748252.72,65354.0,89.04185185
Sunflower,2002,Kharif     ,TAMIL NADU,7709.0,8908,315.9,729811.03,1927.25,1.075217391
Sweet potato,2002,Whole Year ,TAMIL NADU,814.0,11121,315.9,77061.38,203.5,13.8292
Tapioca,2002,Whole Year ,TAMIL NADU,67951.0,2146534,315.9,6432921.17,16987.75,32.53576923
Tobacco,2002,Whole Year ,TAMIL NADU,8213.0,12630,315.9,777524.71,2053.25,1.435454545
Turmeric,2002,Whole Year ,TAMIL NADU,17298.0,64536,315.9,1637601.66,4324.5,3.67
Urad,2002,Kharif     ,TAMIL NADU,196888.0,78555,315.9,18639386.96,49222.0,0.422962963
Arecanut,2003,Whole Year ,KERALA,102504.0,105490,2386.0,10145845.92,24600.96,0.86
Banana,2003,Whole Year ,KERALA,55906.0,442220,2386.0,5533575.88,13417.44,8.215
Black pepper,2003,Whole Year ,KERALA,216440.0,69015,2386.0,21423231.2,51945.6,0.222857143
Cardamom,2003,Whole Year ,KERALA,41332.0,8875,2386.0,4091041.36,9919.68,0.07
Cashewnut,2003,Whole Year ,KERALA,86376.0,65655,2386.0,8549496.48,20730.24,0.559285714
Coconut ,2003,Whole Year ,KERALA,898498.0,5876000000,2386.0,88933332.04,215639.52,6097.778571
Cotton(lint),2003,Kharif     ,KERALA,2949.0,4748,2386.0,291892.02,707.76,1.61
Garlic,2003,Whole Year ,KERALA,638.0,10846,2386.0,63149.24,153.12,17.0
Ginger,2003,Whole Year ,KERALA,8516.0,32972,2386.0,842913.68,2043.84,2.874285714
Groundnut,2003,Kharif     ,KERALA,2687.0,1988,2386.0,265959.26,644.88,0.74
Jowar,2003,Kharif     ,KERALA,2129.0,1087,2386.0,210728.42,510.96,0.628571429
Ragi,2003,Kharif     ,KERALA,1504.0,1217,2386.0,148865.92,360.96,0.76
Rice,2003,Autumn     ,KERALA,102770.0,220132,2386.0,10172174.6,24664.8,2.140769231
Rice,2003,Summer     ,KERALA,37186.0,83239,2386.0,3680670.28,8924.64,1.845
Rice,2003,Winter     ,KERALA,147384.0,266674,2386.0,14588068.32,35372.16,1.960714286
Sesamum,2003,Kharif     ,KERALA,1204.0,285,2386.0,119171.92,288.96,0.245555556
Small millets,2003,Kharif     ,KERALA,1233.0,960,2386.0,122042.34,295.92,0.726666667
Sugarcane,2003,Whole Year ,KERALA,3535.0,290980,2386.0,349894.3,848.4,82.35
Sweet potato,2003,Whole Year ,KERALA,1002.0,11981,2386.0,99177.96,240.48,11.52307692
Tapioca,2003,Whole Year ,KERALA,94297.0,2540790,2386.0,9333517.06,22631.28,28.62785714
Tobacco,2003,Whole Year ,KERALA,76.0,423,2386.0,7522.48,18.24,5.57
Turmeric,2003,Whole Year ,KERALA,2774.0,5652,2386.0,274570.52,665.76,1.967857143
Arecanut,2003,Whole Year ,TAMIL NADU,5219.0,0,345.6,516576.62,1252.56,0.0
Arhar/Tur,2003,Kharif     ,TAMIL NADU,44914.0,27475,345.6,4445587.72,10779.36,0.6396
Bajra,2003,Kharif     ,TAMIL NADU,158851.0,172342,345.6,15723071.98,38124.24,1.0744
Banana,2003,Whole Year ,TAMIL NADU,71088.0,2514729,345.6,7036290.24,17061.12,34.52965517
Black pepper,2003,Whole Year ,TAMIL NADU,4179.0,933,345.6,413637.42,1002.96,0.141666667
Cardamom,2003,Whole Year ,TAMIL NADU,5221.0,478,345.6,516774.58,1253.04,0.079
Cashewnut,2003,Whole Year ,TAMIL NADU,102763.0,39380,345.6,10171481.74,24663.12,0.361153846
Castor seed,2003,Kharif     ,TAMIL NADU,8720.0,2975,345.6,863105.6,2092.8,0.409545455
Coconut ,2003,Whole Year ,TAMIL NADU,352710.0,2560500000,345.6,34911235.8,84650.4,7781.805714
Coriander,2003,Whole Year ,TAMIL NADU,27722.0,8052,345.6,2743923.56,6653.28,0.300740741
Cotton(lint),2003,Kharif     ,TAMIL NADU,97777.0,119687,345.6,9677967.46,23466.48,1.504615385
Dry chillies,2003,Whole Year ,TAMIL NADU,75206.0,40067,345.6,7443889.88,18049.44,0.64
Garlic,2003,Whole Year ,TAMIL NADU,595.0,3411,345.6,58893.1,142.8,5.54
Ginger,2003,Kharif     ,TAMIL NADU,395.0,5599,345.6,39097.1,94.8,14.11833333
Gram,2003,Rabi       ,TAMIL NADU,6625.0,4349,345.6,655742.5,1590.0,0.586666667
Groundnut,2003,Kharif     ,TAMIL NADU,591696.0,918241,345.6,58566070.08,142007.04,1.513928571
Horse-gram,2003,Kharif     ,TAMIL NADU,68092.0,18240,345.6,6739746.16,16342.08,0.273043478
Jowar,2003,Kharif     ,TAMIL NADU,401607.0,245933,345.6,39751060.86,96385.68,0.7376
Maize,2003,Kharif     ,TAMIL NADU,160159.0,250992,345.6,15852537.82,38438.16,1.7856
Moong(Green Gram),2003,Kharif     ,TAMIL NADU,125690.0,53315,345.6,12440796.2,30165.6,0.407037037
Onion,2003,Whole Year ,TAMIL NADU,23452.0,211173,345.6,2321278.96,5628.48,8.768076923
Other Kharif pulses,2003,Kharif     ,TAMIL NADU,105792.0,21757,345.6,10471292.16,25390.08,0.239642857
Potato,2003,Whole Year ,TAMIL NADU,4341.0,70103,345.6,429672.18,1041.84,17.054
Ragi,2003,Kharif     ,TAMIL NADU,118439.0,176381,345.6,11723092.22,28425.36,1.792962963
Rapeseed &Mustard,2003,Rabi       ,TAMIL NADU,376.0,93,345.6,37216.48,90.24,0.386666667
Rice,2003,Kharif     ,TAMIL NADU,1396651.0,3222776,345.6,138240516.0,335196.24,2.728214286
Sesamum,2003,Kharif     ,TAMIL NADU,83835.0,29004,345.6,8297988.3,20120.4,0.347142857
Small millets,2003,Kharif     ,TAMIL NADU,68609.0,42529,345.6,6790918.82,16466.16,2.611153846
Sugarcane,2003,Whole Year ,TAMIL NADU,192069.0,19529277,345.6,19010989.62,46096.56,96.11384615
Sunflower,2003,Kharif     ,TAMIL NADU,10367.0,13408,345.6,1026125.66,2488.08,1.1916
Sweet potato,2003,Whole Year ,TAMIL NADU,1039.0,15049,345.6,102840.22,249.36,14.55
Tapioca,2003,Whole Year ,TAMIL NADU,95022.0,3201414,345.6,9405277.56,22805.28,33.38214286
Turmeric,2003,Whole Year ,TAMIL NADU,16181.0,67250,345.6,1601595.38,3883.44,3.909615385
Urad,2003,Kharif     ,TAMIL NADU,185732.0,75920,345.6,18383753.36,44575.68,0.412962963
Arecanut,2004,Whole Year ,KERALA,107572.0,110342,2880.2,11654350.48,22590.12,0.854285714
Banana,2004,Whole Year ,KERALA,58866.0,475371,2880.2,6377542.44,12361.86,7.803571429
Black pepper,2004,Whole Year ,KERALA,237669.0,74980,2880.2,25749059.46,49910.49,0.222857143
Cardamom,2004,Whole Year ,KERALA,41378.0,8616,2880.2,4482892.52,8689.38,0.069
Cashewnut,2004,Whole Year ,KERALA,81547.0,60584,2880.2,8834801.98,17124.87,0.56
Coconut ,2004,Whole Year ,KERALA,899267.0,6001000000,2880.2,97426586.78,188846.07,6112.145714
Cotton(lint),2004,Kharif     ,KERALA,1472.0,2370,2880.2,159476.48,309.12,1.61
Garlic,2004,Whole Year ,KERALA,306.0,5202,2880.2,33152.04,64.26,17.0
Ginger,2004,Whole Year ,KERALA,9991.0,45305,2880.2,1082424.94,2098.11,3.022857143
Groundnut,2004,Kharif     ,KERALA,1346.0,996,2880.2,145825.64,282.66,0.74
Jowar,2004,Kharif     ,KERALA,2566.0,1309,2880.2,278000.44,538.86,0.505
Other Cereals,2004,Kharif     ,KERALA,955.0,746,2880.2,103464.7,200.55,0.8475
Ragi,2004,Kharif     ,KERALA,1383.0,1119,2880.2,149834.22,290.43,0.782
Rice,2004,Autumn     ,KERALA,105349.0,241824,2880.2,11413510.66,22123.29,2.271538462
Rice,2004,Summer     ,KERALA,35732.0,89752,2880.2,3871204.88,7503.72,2.256923077
Rice,2004,Winter     ,KERALA,148893.0,335529,2880.2,16131067.62,31267.53,2.175714286
Sesamum,2004,Kharif     ,KERALA,883.0,260,2880.2,95664.22,185.43,0.228333333
Sugarcane,2004,Whole Year ,KERALA,1921.0,154300,2880.2,208121.14,403.41,82.35153846
Sweet potato,2004,Whole Year ,KERALA,836.0,10013,2880.2,90572.24,175.56,11.52769231
Tapioca,2004,Whole Year ,KERALA,88486.0,2400043,2880.2,9586573.24,18582.06,28.10571429
Tobacco,2004,Whole Year ,KERALA,40.0,223,2880.2,4333.6,8.4,5.58
Turmeric,2004,Whole Year ,KERALA,2881.0,6244,2880.2,312127.54,605.01,2.025
Arecanut,2004,Whole Year ,TAMIL NADU,5077.0,7390,1034.0,550042.18,1066.17,1.55
Arhar/Tur,2004,Kharif     ,TAMIL NADU,43416.0,28979,1034.0,4703689.44,9117.36,0.6684
Bajra,2004,Kharif     ,TAMIL NADU,97608.0,124300,1034.0,10574850.72,20497.68,1.408846154
Banana,2004,Whole Year ,TAMIL NADU,81498.0,3461788,1034.0,8829493.32,17114.58,41.73931034
Cardamom,2004,Whole Year ,TAMIL NADU,4936.0,450,1034.0,534766.24,1036.56,0.071818182
Cashewnut,2004,Whole Year ,TAMIL NADU,104659.0,44497,1034.0,11338756.06,21978.39,0.34037037
Castor seed,2004,Kharif     ,TAMIL NADU,8269.0,2598,1034.0,895863.46,1736.49,0.3392
Coconut ,2004,Whole Year ,TAMIL NADU,357056.0,4097000000,1034.0,38683447.04,74981.76,10877.70276
Coriander,2004,Whole Year ,TAMIL NADU,19350.0,8391,1034.0,2096379.0,4063.5,0.4236
Cotton(lint),2004,Kharif     ,TAMIL NADU,129364.0,185960,1034.0,14015295.76,27166.44,1.571153846
Dry chillies,2004,Whole Year ,TAMIL NADU,66990.0,44631,1034.0,7257696.6,14067.9,0.761724138
Garlic,2004,Whole Year ,TAMIL NADU,443.0,2632,1034.0,47994.62,93.03,5.854
Ginger,2004,Kharif     ,TAMIL NADU,574.0,11076,1034.0,62187.16,120.54,19.255
Gram,2004,Rabi       ,TAMIL NADU,6420.0,3942,1034.0,695542.8,1348.2,0.545
Groundnut,2004,Kharif     ,TAMIL NADU,615877.0,1005342,1034.0,66724114.18,129334.17,1.790714286
Horse-gram,2004,Kharif     ,TAMIL NADU,67513.0,20110,1034.0,7314358.42,14177.73,0.3068
Jowar,2004,Kharif     ,TAMIL NADU,376739.0,252063,1034.0,40815903.26,79115.19,0.825
Maize,2004,Kharif     ,TAMIL NADU,189893.0,294717,1034.0,20573007.62,39877.53,1.758846154
Moong(Green Gram),2004,Kharif     ,TAMIL NADU,154959.0,61760,1034.0,16788258.06,32541.39,0.417777778
Niger seed,2004,Kharif     ,TAMIL NADU,1239.0,0,1034.0,134233.26,260.19,0.0
Onion,2004,Whole Year ,TAMIL NADU,26491.0,256359,1034.0,2870034.94,5563.11,9.490357143
Other Kharif pulses,2004,Kharif     ,TAMIL NADU,91578.0,18642,1034.0,9921560.52,19231.38,0.201071429
Potato,2004,Whole Year ,TAMIL NADU,5034.0,79060,1034.0,545383.56,1057.14,16.0325
Ragi,2004,Kharif     ,TAMIL NADU,108845.0,154085,1034.0,11792267.3,22857.45,1.742307692
Rapeseed &Mustard,2004,Rabi       ,TAMIL NADU,452.0,109,1034.0,48969.68,94.92,0.25
Rice,2004,Kharif     ,TAMIL NADU,1872822.0,5061622,1034.0,202901535.5,393292.62,3.015172414
Sesamum,2004,Kharif     ,TAMIL NADU,72725.0,33840,1034.0,7879026.5,15272.25,0.397857143
Small millets,2004,Kharif     ,TAMIL NADU,50576.0,42869,1034.0,5479403.84,10620.96,0.8724
Sugarcane,2004,Whole Year ,TAMIL NADU,222188.0,24457244,1034.0,24071847.92,46659.48,104.66
Sunflower,2004,Kharif     ,TAMIL NADU,18152.0,19303,1034.0,1966587.68,3811.92,1.002962963
Sweet potato,2004,Whole Year ,TAMIL NADU,1397.0,21118,1034.0,151350.98,293.37,14.9992
Tapioca,2004,Whole Year ,TAMIL NADU,110589.0,4563776,1034.0,11981212.26,23223.69,41.5525
Turmeric,2004,Whole Year ,TAMIL NADU,21616.0,118447,1034.0,2341877.44,4539.36,5.096071429
Urad,2004,Kharif     ,TAMIL NADU,226364.0,82998,1034.0,24524275.76,47536.44,0.4075
Arecanut,2005,Whole Year ,KERALA,108590.0,119309,3030.9,13022112.8,22803.9,0.958571429
Banana,2005,Whole Year ,KERALA,61400.0,491823,3030.9,7363088.0,12894.0,8.060714286
Black pepper,2005,Whole Year ,KERALA,237998.0,87605,3030.9,28540720.16,49979.58,0.239285714
Cardamom,2005,Whole Year ,KERALA,41367.0,9765,3030.9,4960730.64,8687.07,0.065
Cashewnut,2005,Whole Year ,KERALA,78285.0,68262,3030.9,9387937.2,16439.85,0.621428571
Coconut ,2005,Whole Year ,KERALA,897833.0,6326000000,3030.9,107668133.4,188544.93,6500.859286
Cotton(lint),2005,Kharif     ,KERALA,2655.0,3452,3030.9,318387.6,557.55,1.3
Garlic,2005,Whole Year ,KERALA,65.0,1105,3030.9,7794.8,13.65,17.0
Ginger,2005,Whole Year ,KERALA,12226.0,56288,3030.9,1466141.92,2567.46,3.258571429
Groundnut,2005,Kharif     ,KERALA,3299.0,2441,3030.9,395616.08,692.79,0.74
Jowar,2005,Kharif     ,KERALA,2450.0,1248,3030.9,293804.0,514.5,0.2525
Other Cereals,2005,Kharif     ,KERALA,11.0,21,3030.9,1319.12,2.31,1.91
Ragi,2005,Kharif     ,KERALA,414.0,335,3030.9,49646.88,86.94,0.81
Rice,2005,Autumn     ,KERALA,98256.0,212520,3030.9,11782859.52,20633.76,2.096923077
Rice,2005,Summer     ,KERALA,21857.0,59733,3030.9,2621091.44,4589.97,2.345714286
Rice,2005,Winter     ,KERALA,155629.0,357734,3030.9,18663029.68,32682.09,2.189285714
Sesamum,2005,Kharif     ,KERALA,600.0,210,3030.9,71952.0,126.0,0.314545455
